#wavelength (nm), radius_ratio (rr), error of rr (+), error of rr (-)
2.895709075183325695e+03,1.482315387405079565e-01,1.448419590545119151e-03,1.287428509314902936e-03
2.896387370864965305e+03,1.476398003410188120e-01,1.128782886737206281e-03,1.658317808752030054e-03
2.897065663311044773e+03,1.486094571219920835e-01,1.384303656100843716e-03,1.499382459966558390e-03
2.897743952518495462e+03,1.487721915917461502e-01,1.760357183812788495e-03,1.144279965490518913e-03
2.898422238484307400e+03,1.497441744155014187e-01,1.613675717805962417e-03,1.344207449527956566e-03
2.899100521205352379e+03,1.483403593036515811e-01,1.374990513041962625e-03,1.487044925851999100e-03
2.899778800678639072e+03,1.495149141223882094e-01,1.282553710907741173e-03,1.384479182495290672e-03
2.900457076901099754e+03,1.499325595928931443e-01,1.327733348656739976e-03,1.539179567323051279e-03
2.901135349869655329e+03,1.465704088777082803e-01,1.074806039149639458e-03,1.570711871546143223e-03
2.901813619581314470e+03,1.500288732645309597e-01,1.553280592088202017e-03,1.124090077008005339e-03
2.902491886032968978e+03,1.493721269136971119e-01,1.366412764294139270e-03,1.431416600700813335e-03
2.903170149221619340e+03,1.487675494753097905e-01,1.508803016289250731e-03,1.308651972368818361e-03
2.903848409144226935e+03,1.493141573751810836e-01,1.250330303458224712e-03,1.442891774771470903e-03
2.904526665797702208e+03,1.492801587225454085e-01,1.372129331958793497e-03,1.307648978749520463e-03
2.905264174139324950e+03,1.486567055261367454e-01,1.598690550186410153e-03,1.185839781389308456e-03
2.905942426678111133e+03,1.505208672362280953e-01,1.295352834535384856e-03,1.589938257201328753e-03
2.906620675938128443e+03,1.509157293244495213e-01,1.286404760601961295e-03,1.373073021363746538e-03
2.907298921916305517e+03,1.475792400014415695e-01,1.237265212510302304e-03,1.377359735875161029e-03
2.907977164609675128e+03,1.512661565467836589e-01,1.237219359487673476e-03,1.280005080487534030e-03
2.908655404015149543e+03,1.523348203318466709e-01,1.303276125932839591e-03,1.507741107157151150e-03
2.909333640129741980e+03,1.508402581745337812e-01,1.494035857344977458e-03,1.284542883094291765e-03
2.910011872950432917e+03,1.480018917527388123e-01,1.254190235669222497e-03,1.371710568724288093e-03
2.910690102474154628e+03,1.505709751509992922e-01,1.523489745082345914e-03,1.341658288561947687e-03
2.911368328697953075e+03,1.464681846739998294e-01,1.491101306805603377e-03,1.404531135867276292e-03
2.912046551618753256e+03,1.506470333650949400e-01,1.551361244493287828e-03,1.614096580398127756e-03
2.912724771233572028e+03,1.478250413932703511e-01,1.401316043686179347e-03,1.204651618145591296e-03
2.913402987539405331e+03,1.461454964374374887e-01,1.702801324611841194e-03,1.202754497762276165e-03
2.914081200533191804e+03,1.487673254080433272e-01,1.214691107161242067e-03,1.215885488127843583e-03
2.914759410211989234e+03,1.476805009207210750e-01,1.467799640944955630e-03,1.238658196433289893e-03
2.915437616572729894e+03,1.474942662051478837e-01,1.550071249138945673e-03,1.235904113774000113e-03
2.916115819612443829e+03,1.459800953210833030e-01,1.221440394923944961e-03,1.328059532854392044e-03
2.916794019328133345e+03,1.477818159971249767e-01,1.458716076552762919e-03,1.404721771799621877e-03
2.917472215716751180e+03,1.452081479835128641e-01,1.310419207185664625e-03,1.385817621222862339e-03
2.918150408775363303e+03,1.475944202637576308e-01,1.235740190338813216e-03,1.266305860227551205e-03
2.918828598500907901e+03,1.463803810088126767e-01,1.240889633396580205e-03,1.452845553697651448e-03
2.919506784890431391e+03,1.496545459143668044e-01,1.515292936600576290e-03,1.264049448771314976e-03
2.920184967940938805e+03,1.454566373629336551e-01,1.152665724990231677e-03,1.591053861091984434e-03
2.920863147649401071e+03,1.459675667230624085e-01,1.615850283289449463e-03,1.017337989282079969e-03
2.921541324012888708e+03,1.450390684411973496e-01,1.528613648136362135e-03,1.328498113614684506e-03
2.922219497028346268e+03,1.478391737380315707e-01,1.420304304800695805e-03,1.139410103432464405e-03
2.922897666692839266e+03,1.499471537806711940e-01,1.948752610420212417e-03,1.533862011020264982e-03
2.923575833003371827e+03,1.498888669850237665e-01,1.337095665202042705e-03,1.482890009317977542e-03
2.924253995956935796e+03,1.476816911494435169e-01,9.433049699506257380e-04,1.232825311391100298e-03
2.924932155550607149e+03,1.467997651742716236e-01,1.550722143717681023e-03,1.223790819669168251e-03
2.925610311781329528e+03,1.489182462686662878e-01,1.349657677744725559e-03,1.298673949798240246e-03
2.926288464646198008e+03,1.470126624539099813e-01,1.252407454787524133e-03,1.592407330599815429e-03
2.926966614142205344e+03,1.488763945603924499e-01,1.359568648386044742e-03,1.533199812836311127e-03
2.927644760266373396e+03,1.492373514334026652e-01,9.926614789007859319e-04,1.484030589254642374e-03
2.928322903015776774e+03,1.494920642846074010e-01,1.435004039963688749e-03,1.366472371412741360e-03
2.929001042387365487e+03,1.479757210325418904e-01,1.170644864737613311e-03,1.270142538202345683e-03
2.929679178378257802e+03,1.460451835435796764e-01,1.449143644469158554e-03,1.229552242353992852e-03
2.930357310985434196e+03,1.477870229098825483e-01,1.392540109587087072e-03,1.144534767045901624e-03
2.931035440205953364e+03,1.485955865208211657e-01,1.285664126243646344e-03,1.471831868405715227e-03
2.931713566036871271e+03,1.478099906317388024e-01,1.089512244210777414e-03,1.345610990659634743e-03
2.932391688475177943e+03,1.471361968424968192e-01,1.335625894020864290e-03,1.395421264477864076e-03
2.933069807517985737e+03,1.467708896678128760e-01,1.329404693739544285e-03,1.429423878048258212e-03
2.933747923162268307e+03,1.487439423112668635e-01,1.366010858123767324e-03,1.221123096642795502e-03
2.934426035405128459e+03,1.464469485478533117e-01,1.377025359338340804e-03,1.379903578160757149e-03
2.935104144243596693e+03,1.504257547256203920e-01,1.478039562336080914e-03,1.234141644950892402e-03
2.935782249674703962e+03,1.496354512343677223e-01,1.202779247024970966e-03,1.506105461018591996e-03
2.936460351695558984e+03,1.473218149634668295e-01,1.183613103764469265e-03,1.261454112768262137e-03
2.937138450303130412e+03,1.488800425939931227e-01,1.331627457523326674e-03,1.271260185044836843e-03
2.937816545494558795e+03,1.474648836541852248e-01,1.476969762270408104e-03,1.306959394905299332e-03
2.938494637266852806e+03,1.478840782310036905e-01,1.394254228156616149e-03,1.344092290957166203e-03
2.939172725617089782e+03,1.479954826323237049e-01,1.372503865734397976e-03,9.954806217558898052e-04
2.939850810542349791e+03,1.485789923831338233e-01,1.532310699714434232e-03,1.020198119248832969e-03
2.940528892039645598e+03,1.503402477800190595e-01,1.631688163858224794e-03,1.665707036599017865e-03
2.941206970106114113e+03,1.493747776560556684e-01,1.403988602258487983e-03,1.097511143066498551e-03
2.941885044738750821e+03,1.472627059982105913e-01,1.051055199185885192e-03,1.425584652152200871e-03
2.942563115934683537e+03,1.465073903577218117e-01,1.303531886300612896e-03,1.219433201892550223e-03
2.943241183690959133e+03,1.451288658263291675e-01,1.044089341034948326e-03,1.376056034355588320e-03
2.943919248004645851e+03,1.485578254836183998e-01,1.081372703846034122e-03,1.184477454448579214e-03
2.944597308872857411e+03,1.473969207467282216e-01,1.316182911020091773e-03,1.313843360636807178e-03
2.945275366292599756e+03,1.471886330258798670e-01,1.571842953171309620e-03,1.005164537828923121e-03
2.945953420261035717e+03,1.482136291856687993e-01,1.522210652699140798e-03,1.076393889453880481e-03
2.946631470775179423e+03,1.461020137584267131e-01,1.236286031154554266e-03,1.251602862618245160e-03
